Date;PX_LAST
31/05/2022;29,6950
30/06/2022;17,2180
29/07/2022;23,6500
31/08/2022;20,2500
30/09/2022;19,3320
31/10/2022;20,3800
30/11/2022;16,4820
30/12/2022;15,7680
31/01/2023;22,0350
28/02/2023;22,3800
31/03/2023;25,9200
28/04/2023;26,6750
31/05/2023;25,1100
30/06/2023;26,5400
31/07/2023;26,3150
31/08/2023;24,0350
29/09/2023;23,5850
31/10/2023;28,7750
30/11/2023;32,1400
29/12/2023;37,4250
31/01/2024;37,3350
29/02/2024;54,1900
28/03/2024;59,9700
30/04/2024;50,1200
31/05/2024;57,1400
28/06/2024;52,1900
31/07/2024;55,4000
30/08/2024;46,2550
30/09/2024;50,7800
31/10/2024;54,1600
29/11/2024;79,2000
30/12/2024;75,0600
31/01/2025;82,9300
28/02/2025;60,5900
31/03/2025;61,8100
30/04/2025;67,2700
30/05/2025;77,62
